raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
"Osabaw Sound, GA","osabaw sound, ga","osabaw sound, ga",SchallesJ_US_Creighton,United States of America (the),1,31.8311666666667,-81.0364166666667,"wb2:osabaw sound, ga","wb5:osabaw sound, ga","raw:Osabaw Sound, GA",cg:BindingC_CA_ECCC,
"Otter Point Creek, MD","otter point creek, md","otter point creek, md",SchallesJ_US_Creighton,United States of America (the),1,39.44569,-76.2439,"wb2:otter point creek, md","wb5:bush river, md","raw:Otter Point Creek, MD",cg:BindingC_CA_ECCC,
"Pacific Ocean, CA","pacific ocean, ca","pacific ocean, ca",SeaBASS_US_NRL,United States of America (the),26,36.82792628192308,-121.9549147423077,"wb2:pacific ocean, ca","wb5:pacific ocean, ca","raw:Pacific Ocean, CA",cg:BindingC_CA_ECCC,
"Pamlico Sound, NC","pamlico sound, nc","pamlico sound, nc",SchallesJ_US_Creighton,United States of America (the),1,35.05055,-76.3032,"wb2:pamlico sound, nc","wb5:pamlico sound, nc","raw:Pamlico Sound, NC",cg:BindingC_CA_ECCC,
"Pamlico Sound, NC","pamlico sound, nc","pamlico sound, nc",SeaBASS_US_NOAA,United States of America (the),31,34.97918064516129,-76.26247957,"wb2:pamlico sound, nc","wb5:pamlico sound, nc","raw:Pamlico Sound, NC",cg:BindingC_CA_ECCC,
Paringa,paringa,paringa,LehmannMK_NZ_UOW_NZ_LK,New Zealand,2,-43.715554999999995,169.3998,wb2:paringa,wb5:paringa,raw:Paringa,cg:LehmannMK_NZ_UOW_NZ_LK,
Parnu Bay,parnu bay,parnu bay,AlikasK_EE_UT-TO,Estonia,14,58.28348999999999,24.370481428571427,wb2:parnu bay,wb5:parnu bay,raw:Parnu Bay,cg:AlikasK_EE_UT-TO,
Pelican Lake,pelican lake,pelican lake,GrebSR_US_WDNR,United States of America (the),9,45.50878888888889,-89.19541,wb2:pelican lake,wb5:pelican lake,raw:Pelican Lake,cg:BindingC_CA_ECCC,
Petenwell Lake,petenwell lake,petenwell lake,GrebSR_US_WDNR,United States of America (the),6,44.141751666666664,-89.96617333333334,wb2:petenwell lake,wb5:petenwell lake,raw:Petenwell Lake,cg:BindingC_CA_ECCC,
Pine Lake,pine lake,pine lake,GrebSR_US_WDNR,United States of America (the),6,45.67854666666667,-88.98169,wb2:pine lake,wb5:pine lake,raw:Pine Lake,cg:BindingC_CA_ECCC,
Pinilla,pinilla,pinilla,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,40.942667217193026,-3.784892422222905,wb2:pinilla,wb5:pinilla,raw:Pinilla,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Pinto Lake,pinto lake,pinto lake,KudelaR_US_UCSC,United States of America (the),34,36.95126,-121.76832,wb2:pinto lake,wb5:pinto lake,raw:Pinto Lake,cg:KudelaR_US_UCSC,
Plum Island Estuary,plum island estuary,plum island estuary,FichotCG_US_BU_PIE,United States of America (the),23,42.747841739130436,-70.82295782608696,wb2:plum island estuary,wb5:plum island estuary,raw:Plum Island Estuary,cg:FichotCG_US_BU_PIE,
Poyang Lake,poyang lake,poyang lake,YueL_CN_CUG,China,16,29.15745256875,116.20816280625,wb2:poyang lake,wb5:poyang lake,raw:Poyang Lake,cg:YueL_CN_CUG,
Rainbow Flowage,rainbow flowage,rainbow flowage,GrebSR_US_WDNR,United States of America (the),4,45.8569625,-89.5177125,wb2:rainbow flowage,wb5:rainbow flowage,raw:Rainbow Flowage,cg:BindingC_CA_ECCC,
Red River,red river,red river,NguyenTTH_VN_VNU-HUS,Viet Nam,40,21.283101124999998,105.393754775,wb2:red river,wb5:red river,raw:Red River,cg:BracherA_DE_AWI,
Rialb,rialb,rialb,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,41.963819444444425,1.22,wb2:rialb,wb5:rialb,raw:Rialb,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
