group_a,group_b,names_a,names_b,min_km,shared_tokens
"wb2:blackburn bay, fl","wb2:gulf of mexico, fl","blackburn bay, fl","gulf of mexico, fl; tampa bay, fl",7.07,
wb2:mapourika,wb2:wahapo,mapourika,wahapo,7.14,
"wb2:altamaha river, ga","wb2:mackay river, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","mackay river, ga",7.21,
"wb2:intracoastal waterway, tx","wb2:san antonio bay, tx","intracoastal waterway, tx","san antonio bay, tx",7.28,
wb2:geist reservoir,wb2:morse reservoir,geist reservoir,morse reservoir,7.34,
wb2:nightevecht,wb2:vinkeveenseplas jachthaven,nightevecht,vinkeveenseplas jachthaven,7.35,
wb2:lake sheppard,wb2:lake sumner,lake sheppard; lake taylor,lake sumner,7.49,
"wb2:ashepoo river, sc","wb2:combahee river, sc","ashepoo river, sc; edisto river, sc","combahee river, sc",7.56,
wb2:lake rotokakahi,wb2:lake tarawera,lake rotokakahi; lake tikitapu,lake tarawera,7.57,
wb2:lake rotokauri,wb2:lake rotoroa (hamilton),lake rotokauri,lake rotoroa (hamilton),7.66,
"wb2:james river, va","wb2:knitting mill creek, va","james river, va","knitting mill creek, va; lafayette river, va",7.67,
wb2:lake kahuparere,wb2:lake mokeno,lake kahuparere; lake kanono; lake rotokawau,lake mokeno,7.68,
wb2:lake rotoehu,wb2:lake rotoiti,lake rotoehu,lake rotoiti,7.7,
wb2:lake waahi,wb2:rotognaro,lake waahi,rotognaro; rotognaroiti,7.75,
wb2:lake okataina,wb2:lake rotoiti,lake okataina,lake rotoiti,7.76,
wb2:hilversums kanaal,wb2:naardermeer-spookgat,hilversums kanaal; lake loosdrecht; loenderveensche plas; loenderveense plas; vecht (breukelen/nieuwersluis); vecht (loenen); vuntus; vuntus jachthaven; waterleidingplas; wijde blik; wijde gat,naardermeer-spookgat,7.88,
wb2:lake karapiro,wb2:te koutu,lake karapiro,te koutu,7.88,
wb2:lake kalli,wb2:lake koosa,lake kalli,lake koosa,7.96,
wb2:lake waikare,wb2:ohinewai,lake waikare,ohinewai,8.02,
wb2:lake okataina,wb2:lake tarawera,lake okataina,lake tarawera,8.06,
wb2:lake nouni,wb2:lake pangodi,lake nouni,lake pangodi,8.12,
wb2:lake waahi,wb2:ohinewai,lake waahi,ohinewai,8.12,
wb2:giribaile,wb2:guadalen,giribaile,guadalen,8.13,
wb2:coniston water,wb2:windermere,coniston water,windermere,8.16,
