label,target,sensor,protocol,population,noise_mult,noise_add,model,method,alpha,cov_wb_mean,cov_wb_std,cov_wb_median,cov_pooled_mean,cov_pooled_std,cov_pooled_median,width_wb_mean,width_wb_std,width_wb_median,width_wb_log10mean_mean,width_wb_log10mean_std,width_wb_log10mean_median,winkler_wb_mean,winkler_wb_std,winkler_wb_median,inf_rate_mean,inf_rate_std,inf_rate_median,cov_worst_ge10_mean,cov_worst_ge10_std,cov_worst_ge10_median,beta_mean_mean,beta_mean_std,beta_mean_median,cvplus_bound_mean,cvplus_bound_std,cvplus_bound_median,k_cal_units_mean,k_cal_units_std,k_cal_units_median,k_cal_rows_mean,k_cal_rows_std,k_cal_rows_median,n_splits,n_seeds,n_splits_infinite,mdsa_mean,mdsa_std,mdsa_median,sspb_mean,sspb_std,sspb_median,logmae_mean,logmae_std,logmae_median,logbias_mean,logbias_std,logbias_median,logrmse_mean,logrmse_std,logrmse_median
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,nscp_pool,0.2,0.8119669994078986,0.0263655820262917,0.8165273573989217,0.7981191836974336,0.0185189934425006,0.803555803819827,3.933591698785109,0.6918608223835109,3.818875981502933,0.4497048246752758,0.0260348843695886,0.4510556202908092,0.7289405634761478,0.0601189027441053,0.7308022045605344,0.0,0.0,0.0,0.5479181512190665,0.0951434482788965,0.5561403508771929,0.8005175256265096,0.0003467225638409,0.8005822724730052,,,,174.25,8.077747210701757,173.0,675.75,10.274521374433183,678.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,19.44998689883639,1.1016338156359953,19.30973316954634,-0.986370758642563,1.3325675023343713,-1.1348994899222364,0.1319177699864241,0.0072317669632351,0.1333763469181502,-0.0091516808840353,0.0101645157509984,-0.0079913229523531,0.2234492699874154,0.0171092087408212,0.2217887300313546
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,recal_cal,0.05,0.93303873503399,0.0163969180167495,0.9346783538648084,0.9293331971885432,0.0117069920674617,0.9289884886418348,19.654035952151112,11.882090792985355,14.562225642304483,0.7331458487662095,0.0373780479726276,0.7340594481980964,1.1411471631289678,0.1594835564138448,1.1065235133847378,0.0,0.0,0.0,0.7680778967091897,0.0905393270379877,0.8,,,,,,,174.25,8.077747210701757,173.0,675.75,10.274521374433183,678.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,recal_cal,0.1,0.9000360609401377,0.0205257811279385,0.901923253835671,0.8932398961510317,0.0131248101574572,0.8923328123255554,9.319954380742042,3.4126211716429515,8.34491953439882,0.6219918290723873,0.0349134618031435,0.6248881299559702,0.9125875601796436,0.0907678121950977,0.90741309633035,0.0,0.0,0.0,0.6898610485624215,0.0906079419980595,0.7142857142857143,,,,,,,174.25,8.077747210701757,173.0,675.75,10.274521374433183,678.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,recal_cal,0.2,0.812082379226329,0.0290953584596134,0.8081750206968015,0.7979639084900814,0.0196157473073723,0.7976207360793204,3.751958852890321,0.5952967716111991,3.7647388634709222,0.4394835617266662,0.0241937265357656,0.4383702567097783,0.700974840596182,0.0503984310125453,0.7016373186743831,0.0,0.0,0.0,0.5701919984414263,0.0927039685671574,0.5857142857142856,,,,,,,174.25,8.077747210701757,173.0,675.75,10.274521374433183,678.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,recal_train20,0.05,0.9225048052319726,0.0157204990124587,0.9231992161227276,0.9193427483234232,0.0150172858099954,0.921856198170871,19.89594868618208,12.945600743260632,13.789906715786172,0.7235976506502018,0.0421408800312075,0.7330353262563072,1.2046822319490875,0.1353787778193817,1.1971763087432377,0.0,0.0,0.0,0.7447453746154002,0.0832822514635851,0.7350877192982456,,,,,,,133.65,6.318519146962073,134.5,405.05,2.187885304412269,405.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,recal_train20,0.1,0.8986864109047727,0.0177199668528443,0.8970931972827474,0.888254391303413,0.0227452302638694,0.8860658428182359,10.913556453352223,6.3288872464334,8.088399642392249,0.6250850850164656,0.0487959194955346,0.6213566136604637,0.95063003819713,0.0792233881118616,0.9530942973579272,0.0,0.0,0.0,0.6881383100118799,0.0947197029950159,0.6754385964912281,,,,,,,133.65,6.318519146962073,134.5,405.05,2.187885304412269,405.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,recal_train20,0.2,0.8118509486734092,0.026720658983154,0.8186297768194887,0.7929115084414502,0.0307264392629788,0.7915433925049309,4.193168851869191,1.176387094292395,4.010533948588554,0.4525157178693315,0.0386257522409799,0.4536571980984265,0.7224196244993922,0.0472438176942313,0.7169888800338967,0.0,0.0,0.0,0.5512183629118746,0.0896745356934651,0.5298245614035088,,,,,,,133.65,6.318519146962073,134.5,405.05,2.187885304412269,405.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,scp_gsub,0.05,0.9521400428992234,0.0244283931352472,0.95369452293105,0.9554778339494524,0.018840527176829,0.9568402148618942,9.941692538526617,4.126400753148007,8.602317886212395,0.9658083703317274,0.1666433825395571,0.9346148017223224,1.4963106456200577,0.2397002969784116,1.4633239262208213,0.0,0.0,0.0,0.6278555503526899,0.1048784635226862,0.625,0.9529094025595016,0.0017494668098874,0.9533523731810144,,,,174.25,8.077747210701757,173.0,174.25,8.077747210701757,173.0,20,20,0.0,,,,,,,,,,,,,,,
exploratory,Secchi_depth,hyp,random,primary,0.0,0.0,mdn,scp_gsub,0.1,0.9001724672295321,0.0290666951532178,0.8926898229640414,0.909736358211261,0.0272819881934761,0.9169189045209096,4.359006058070731,0.8264917072176804,4.352650549192118,0.6320810856581514,0.0815430846800084,0.6386162607752014,1.121090038563521,0.1457891630277859,1.0985514589976677,0.0,0.0,0.0,0.5108815747986228,0.1235318577981673,0.523157894736842,0.90211917940151,0.0014335605224898,0.9020696706861292,,,,174.25,8.077747210701757,173.0,174.25,8.077747210701757,173.0,20,20,0.0,,,,,,,,,,,,,,,
