target,sensor,population,n_cal_wb_target,method,alpha,label,n_seeds,draws_per_seed,mean_cov,beta_mean,sd_seed_draw0,sd_seed_means,beta_sd,beta_law_applicable,sd_draws_conditional_on_split,inf_rate_mean,mean_width_wb_log10
Chla,hyp,primary,20,scp_pool,0.1,exploratory,20,20.0,0.8882311182032232,0.9020716528607965,0.08229047106511417,0.0468482179460955,0.0187036374604681,False,0.04146399620538801,0.0,1.0251234837958796
Chla,hyp,primary,30,cqr_gsub,0.1,exploratory,20,20.0,0.9115760670895936,0.9032258064516127,0.06374813921547016,0.046424213584212115,0.052264037890385986,True,0.044227239770462855,0.0,1.1884179801058032
Chla,hyp,primary,30,cqr_pool,0.1,exploratory,20,20.0,0.9033773459436498,0.9012013475445004,0.04296745441322609,0.033939165613294554,0.014555520338808877,False,0.02711465399934109,0.0,1.0635207772858999
Chla,hyp,primary,30,scp_gsub,0.1,exploratory,20,20.0,0.9071734226187385,0.9032258064516127,0.0829677324438927,0.03888288795015467,0.052264037890385986,True,0.047295188352078577,0.0,1.1790190665668432
Chla,hyp,primary,30,scp_pool,0.1,exploratory,20,20.0,0.8993863341882353,0.9012013475445004,0.04069340312690164,0.03840703109565497,0.014555520338808877,False,0.02646354204611795,0.0,1.052389559313618
Chla,hyp,primary,40,cqr_gsub,0.1,exploratory,20,20.0,0.9055007895124856,0.902439024390244,0.07259312097447324,0.04497390608023855,0.04578490904628808,True,0.04124281644164823,0.0,1.1199452730711041
Chla,hyp,primary,40,cqr_pool,0.1,exploratory,20,20.0,0.8998127122929859,0.9008003360063566,0.040879262433640796,0.03671023826333617,0.012375609122534013,False,0.018026612577463907,0.0,1.0291432497775288
Chla,hyp,primary,40,scp_gsub,0.1,exploratory,20,20.0,0.9008463017648184,0.902439024390244,0.055713787543511605,0.039819677540945536,0.04578490904628808,True,0.036720791727206895,0.0,1.0988087035158336
Chla,hyp,primary,40,scp_pool,0.1,exploratory,20,20.0,0.8960722874614799,0.9008003360063566,0.04308575104952464,0.04030196207054528,0.012375609122534013,False,0.01709608071025048,0.0,1.0300484375265213
Chla,hyp,primary,all,cqr_gsub,0.1,exploratory,20,1.0,0.9164393838235219,0.9041947693446029,0.04767555980536588,0.04767555980536588,0.04035599971597521,True,,0.0,1.150964054539812
Chla,hyp,primary,all,cqr_pool,0.1,exploratory,20,1.0,0.8991014890451456,0.9006264564124535,0.0385223986748743,0.0385223986748743,0.010678757575261388,False,,0.0,1.0202724625279864
Chla,hyp,primary,all,scp_gsub,0.1,exploratory,20,1.0,0.901479544336272,0.9041947693446029,0.0614519520316217,0.0614519520316217,0.04035599971597521,True,,0.0,1.1089535399498593
Chla,hyp,primary,all,scp_pool,0.1,exploratory,20,1.0,0.895499878363039,0.9006264564124535,0.03876951237162798,0.03876951237162798,0.010678757575261388,False,,0.0,1.0251946483640233
Secchi_depth,hyp,primary,10,cqr_gsub,0.1,exploratory,20,20.0,0.9117986090308948,0.9090909090909094,0.09603503144013323,0.03866455850625798,0.08298826628866154,True,0.0727187217878235,0.0,0.967167526866593
Secchi_depth,hyp,primary,10,cqr_pool,0.1,exploratory,20,20.0,0.8921422854844027,0.9070067511330023,0.07240023955524268,0.03469851786502066,0.03453366155165524,False,0.05802924469515387,0.0,0.809746888366756
Secchi_depth,hyp,primary,10,scp_gsub,0.1,exploratory,20,20.0,0.9041403221597493,0.9090909090909094,0.13014383417708955,0.0364146700164048,0.08298826628866154,True,0.08237116561935312,0.0,1.0361395975769643
Secchi_depth,hyp,primary,10,scp_pool,0.1,exploratory,20,20.0,0.880516297777741,0.9070067511330023,0.0940947673940729,0.0406260925760277,0.03453366155165524,False,0.06640812401302261,0.0,0.8837275790054925
Secchi_depth,hyp,primary,15,cqr_gsub,0.1,exploratory,20,20.0,0.933366862593032,0.9375,0.030996287752390064,0.029242709397606908,0.05870852728923277,True,0.05169790136738574,0.0,1.039823873839119
Secchi_depth,hyp,primary,15,cqr_pool,0.1,exploratory,20,20.0,0.8960195754324504,0.9044021403733522,0.08208959637400202,0.03857383084535568,0.027806772936143864,False,0.05121742949935983,0.0,0.8346689424706802
Secchi_depth,hyp,primary,15,scp_gsub,0.1,exploratory,20,20.0,0.9309779001335133,0.9375,0.04332144569715954,0.028805772442691446,0.05870852728923277,True,0.05522674045516838,0.0,1.1444272086039151
Secchi_depth,hyp,primary,15,scp_pool,0.1,exploratory,20,20.0,0.8885096831818821,0.9044021403733522,0.07185235858222651,0.0369024254141217,0.027806772936143864,False,0.05910765340826457,0.0,0.9068249069901694
Secchi_depth,hyp,primary,20,cqr_gsub,0.1,exploratory,20,20.0,0.8982415801704814,0.9047619047619048,0.06981103211300527,0.04203696567506918,0.06258368958788293,True,0.05271071788880942,0.0,0.8010977740091764
Secchi_depth,hyp,primary,20,cqr_pool,0.1,exploratory,20,20.0,0.8950665101338983,0.9029401289194908,0.05392283930793638,0.043404100541218564,0.02352587000181518,False,0.04261526892763945,0.0,0.8081430383360257
Secchi_depth,hyp,primary,20,scp_gsub,0.1,exploratory,20,20.0,0.893231765117464,0.9047619047619048,0.08174455378280922,0.0488487694449993,0.06258368958788293,True,0.058394037275667145,0.0,0.8909327512190544
Secchi_depth,hyp,primary,20,scp_pool,0.1,exploratory,20,20.0,0.8850289184339379,0.9029401289194908,0.061441328022540605,0.043748211601116596,0.02352587000181518,False,0.05306469872170698,0.0,0.8748770705851403
Secchi_depth,hyp,primary,30,cqr_gsub,0.1,exploratory,20,20.0,0.8927699639526505,0.9032258064516127,0.06456255867408439,0.04319488140357052,0.052264037890385986,True,0.045480183143076655,0.0,0.7622799740191428
Secchi_depth,hyp,primary,30,cqr_pool,0.1,exploratory,20,20.0,0.9006194550461648,0.9019486036726398,0.060516438269756966,0.04677206006394503,0.019096155214137635,False,0.03488827556046895,0.0,0.820117655450426
Secchi_depth,hyp,primary,30,scp_gsub,0.1,exploratory,20,20.0,0.8895274645411042,0.9032258064516127,0.073965071363278,0.0481557214862559,0.052264037890385986,True,0.04495388769892862,0.0,0.8469560047425807
Secchi_depth,hyp,primary,30,scp_pool,0.1,exploratory,20,20.0,0.891083048199041,0.9019486036726398,0.07245197389808351,0.04691512852115774,0.019096155214137635,False,0.04197154844186786,0.0,0.8943659457817867
Secchi_depth,hyp,primary,40,cqr_gsub,0.1,exploratory,20,20.0,0.8965816801331661,0.902439024390244,0.05038093682948873,0.039589805740094464,0.04578490904628808,True,0.03264576489991405,0.0,0.7600025526339843
Secchi_depth,hyp,primary,40,cqr_pool,0.1,exploratory,20,20.0,0.9024856882577167,0.9014125740410506,0.05459066289318413,0.046581023548334,0.01616893455355381,False,0.025919073901002832,0.0,0.7941345444324355
Secchi_depth,hyp,primary,40,scp_gsub,0.1,exploratory,20,20.0,0.8911813296044769,0.902439024390244,0.06495804549567828,0.04669784606565206,0.04578490904628808,True,0.04006228763185813,0.0,0.8478063385528138
Secchi_depth,hyp,primary,40,scp_pool,0.1,exploratory,20,20.0,0.8946421753734729,0.9014125740410506,0.05527169314869565,0.05066917345248252,0.01616893455355381,False,0.03066203220485051,0.0,0.8755715035652696
Secchi_depth,hyp,primary,all,cqr_gsub,0.1,exploratory,20,1.0,0.8936695709793977,0.9087264507880178,0.05159388820353683,0.05159388820353683,0.03525349837884405,True,,0.0,0.7485200183470728
Secchi_depth,hyp,primary,all,cqr_pool,0.1,exploratory,20,1.0,0.9061868957539951,0.900743535300481,0.04975890363247845,0.04975890363247845,0.012538127074966043,False,,0.0,0.7835106561340804
Secchi_depth,hyp,primary,all,scp_gsub,0.1,exploratory,20,1.0,0.895251000242912,0.9087264507880178,0.052172301462621626,0.052172301462621626,0.03525349837884405,True,,0.0,0.8398418322931356
Secchi_depth,hyp,primary,all,scp_pool,0.1,exploratory,20,1.0,0.9000831996586293,0.900743535300481,0.0538880843899167,0.0538880843899167,0.012538127074966043,False,,0.0,0.8587597662038631
TSS,hyp,primary,10,cqr_gsub,0.1,exploratory,20,20.0,0.9097617187377421,0.9090909090909094,0.0563058033240471,0.032441562137214094,0.08298826628866154,True,0.07526301849135786,0.0,1.5615229296043516
TSS,hyp,primary,10,cqr_pool,0.1,exploratory,20,20.0,0.8689333474308336,0.9051235309486836,0.08699997055771885,0.03634704900861099,0.029951763513132695,False,0.08069940259595529,0.0,1.3110645950986228
TSS,hyp,primary,10,scp_gsub,0.1,exploratory,20,20.0,0.9112417439118238,0.9090909090909094,0.06811069141276878,0.031841562334216235,0.08298826628866154,True,0.06767571848467849,0.0,1.748397537695952
TSS,hyp,primary,10,scp_pool,0.1,exploratory,20,20.0,0.8670420736034561,0.9051235309486836,0.09804823828189431,0.04074576433571064,0.029951763513132695,False,0.08116528549180645,0.0,1.4535500528692535
TSS,hyp,primary,15,cqr_gsub,0.1,exploratory,20,20.0,0.9314525362131956,0.9375,0.044414914876147724,0.023171004893648945,0.05870852728923277,True,0.0565408472151651,0.0,1.6640050728742137
TSS,hyp,primary,15,cqr_pool,0.1,exploratory,20,20.0,0.8647494325898657,0.9030510556053777,0.07384550180483279,0.04021659473694196,0.023312094953463446,False,0.06711474982080452,0.0,1.2883946468720966
TSS,hyp,primary,15,scp_gsub,0.1,exploratory,20,20.0,0.9320750599272017,0.9375,0.06705437822998266,0.022170296131649333,0.05870852728923277,True,0.057979500021919206,0.0,1.8980601869867146
TSS,hyp,primary,15,scp_pool,0.1,exploratory,20,20.0,0.8648435045425199,0.9030510556053777,0.07450828260486433,0.04075978008299373,0.023312094953463446,False,0.06856202433776985,0.0,1.4137087699629263
TSS,hyp,primary,20,cqr_gsub,0.1,exploratory,20,20.0,0.9037245411168862,0.9047619047619048,0.07978090825218588,0.0310675671623671,0.06258368958788293,True,0.057775128073014534,0.0,1.4238486642605448
TSS,hyp,primary,20,cqr_pool,0.1,exploratory,20,20.0,0.8760415527831924,0.9020802812016877,0.07105786645077326,0.046361944957554135,0.019648805774032,False,0.05506935074143856,0.0,1.3341554978742907
TSS,hyp,primary,20,scp_gsub,0.1,exploratory,20,20.0,0.9026099836261106,0.9047619047619048,0.09276305418944449,0.03180974418101609,0.06258368958788293,True,0.05838462673738927,0.0,1.593972207198537
TSS,hyp,primary,20,scp_pool,0.1,exploratory,20,20.0,0.8775525863133403,0.9020802812016877,0.08505538730380618,0.03980259528937615,0.019648805774032,False,0.06017094305153535,0.0,1.464373243194139
TSS,hyp,primary,30,cqr_gsub,0.1,exploratory,20,20.0,0.9005484073407317,0.9032258064516127,0.04356908293425594,0.0343825430787597,0.052264037890385986,True,0.04197409340148717,0.0,1.3648623739502597
TSS,hyp,primary,30,cqr_pool,0.1,exploratory,20,20.0,0.8797687528059983,0.9013011823942584,0.05145834669256521,0.04145190519553205,0.015614428443359557,False,0.04443989059125078,0.0,1.3076098793284692
TSS,hyp,primary,30,scp_gsub,0.1,exploratory,20,20.0,0.8976725459194096,0.9032258064516127,0.05696842582912307,0.03445949333735263,0.052264037890385986,True,0.04775293771127208,0.0,1.5198218465392659
TSS,hyp,primary,30,scp_pool,0.1,exploratory,20,20.0,0.8786770040708669,0.9013011823942584,0.050054846962561635,0.04083137449756146,0.015614428443359557,False,0.04861697489212784,0.0,1.4397166796132927
TSS,hyp,primary,40,cqr_gsub,0.1,exploratory,20,20.0,0.8992357643080935,0.902439024390244,0.04737522578788818,0.03997096243001202,0.04578490904628808,True,0.0346094998452879,0.0,1.352004540027976
