label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,Chla,earliest,per_k,10,cqr,hybrid,0.1,20,0.8246050853483112,0.05622766826447875,11.6,0.0
exploratory,Chla,earliest,per_k,10,cqr,local,0.1,20,0.8246050853483112,0.05622766826447875,11.6,0.0
exploratory,Chla,earliest,per_k,10,scp,augment,0.1,20,0.8987616171732562,0.04840049663375684,11.6,0.0
exploratory,Chla,earliest,per_k,10,scp,global,0.1,20,0.8894275955815043,0.060854778322538924,11.6,0.0
exploratory,Chla,earliest,per_k,10,scp,hybrid,0.1,20,0.8428460095723367,0.04360314090846911,11.6,0.0
exploratory,Chla,earliest,per_k,10,scp,local,0.1,20,0.8428460095723367,0.04360314090846911,11.6,0.0
exploratory,Chla,earliest,per_k,20,cqr,augment,0.1,20,0.8817818232110859,0.059187296670404066,7.55,0.0
exploratory,Chla,earliest,per_k,20,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,per_k,20,cqr,hybrid,0.1,20,0.8019006494497587,0.07418217285467028,7.55,0.0
exploratory,Chla,earliest,per_k,20,cqr,local,0.1,20,0.8019006494497587,0.07418217285467028,7.55,0.0
exploratory,Chla,earliest,per_k,20,scp,augment,0.1,20,0.8822252654542879,0.062048778462655996,7.55,0.0
exploratory,Chla,earliest,per_k,20,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,per_k,20,scp,hybrid,0.1,20,0.8261918270146639,0.0628694732077622,7.55,0.0
exploratory,Chla,earliest,per_k,20,scp,local,0.1,20,0.8261918270146639,0.0628694732077622,7.55,0.0
exploratory,Chla,random,common,0,cqr,augment,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,0,cqr,global,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,0,cqr,hybrid,0.1,20,0.9094253516461377,0.05614781714039007,7.55,0.0
exploratory,Chla,random,common,0,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,random,common,0,scp,augment,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,0,scp,global,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,0,scp,hybrid,0.1,20,0.9035226400195429,0.05498430850605039,7.55,0.0
exploratory,Chla,random,common,0,scp,local,0.1,20,1.0,0.0,7.55,1.0
