key,value,rounding,source_file,filter
t2.Chla.contributor_ds.n_seeds,10,integer,data/processed/splits_Chla.parquet,protocol == contributor_ds; nunique seed
t2.Chla.contributor_ds.n_descriptive,0,integer,data/processed/splits_Chla.parquet,protocol == contributor_ds; descriptive_only splits
t2.Chla.contributor_ds.train.rows_median,2311.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor_ds; role == train; median over splits of row count
t2.Chla.contributor_ds.train.wb_median,154.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor_ds; role == train; median over splits of nunique wb_group
t2.Chla.contributor_ds.cal.rows_median,794.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor_ds; role == cal; median over splits of row count
t2.Chla.contributor_ds.cal.wb_median,54.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor_ds; role == cal; median over splits of nunique wb_group
t2.Chla.contributor_ds.test.rows_median,892.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor_ds; role == test; median over splits of row count
t2.Chla.contributor_ds.test.wb_median,42.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor_ds; role == test; median over splits of nunique wb_group
t2.Chla.contributor.n_splits,50,integer,data/processed/splits_Chla.parquet,"protocol == contributor; distinct (seed, fold, test_unit)"
t2.Chla.contributor.n_seeds,10,integer,data/processed/splits_Chla.parquet,protocol == contributor; nunique seed
t2.Chla.contributor.n_descriptive,0,integer,data/processed/splits_Chla.parquet,protocol == contributor; descriptive_only splits
t2.Chla.contributor.train.rows_median,2707.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor; role == train; median over splits of row count
t2.Chla.contributor.train.wb_median,130.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor; role == train; median over splits of nunique wb_group
t2.Chla.contributor.cal.rows_median,1002.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor; role == cal; median over splits of row count
t2.Chla.contributor.cal.wb_median,73.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor; role == cal; median over splits of nunique wb_group
t2.Chla.contributor.test.rows_median,657.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor; role == test; median over splits of row count
t2.Chla.contributor.test.wb_median,51.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == contributor; role == test; median over splits of nunique wb_group
t2.Chla.region.n_splits,30,integer,data/processed/splits_Chla.parquet,"protocol == region; distinct (seed, fold, test_unit)"
t2.Chla.region.n_seeds,5,integer,data/processed/splits_Chla.parquet,protocol == region; nunique seed
t2.Chla.region.n_descriptive,10,integer,data/processed/splits_Chla.parquet,protocol == region; descriptive_only splits
t2.Chla.region.train.rows_median,2711.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region; role == train; median over splits of row count
t2.Chla.region.train.wb_median,159.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region; role == train; median over splits of nunique wb_group
t2.Chla.region.cal.rows_median,1052.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region; role == cal; median over splits of row count
t2.Chla.region.cal.wb_median,54.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region; role == cal; median over splits of nunique wb_group
t2.Chla.region.test.rows_median,516.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region; role == test; median over splits of row count
t2.Chla.region.test.wb_median,44.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region; role == test; median over splits of nunique wb_group
t2.Chla.region_na.n_splits,20,integer,data/processed/splits_Chla.parquet,"protocol == region_na; distinct (seed, fold, test_unit)"
t2.Chla.region_na.n_seeds,5,integer,data/processed/splits_Chla.parquet,protocol == region_na; nunique seed
t2.Chla.region_na.n_descriptive,10,integer,data/processed/splits_Chla.parquet,protocol == region_na; descriptive_only splits
t2.Chla.region_na.train.rows_median,2995.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region_na; role == train; median over splits of row count
t2.Chla.region_na.train.wb_median,182.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region_na; role == train; median over splits of nunique wb_group
t2.Chla.region_na.cal.rows_median,783.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region_na; role == cal; median over splits of row count
t2.Chla.region_na.cal.wb_median,61.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region_na; role == cal; median over splits of nunique wb_group
t2.Chla.region_na.test.rows_median,510.5,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region_na; role == test; median over splits of row count
t2.Chla.region_na.test.wb_median,13.0,"integer (median, half up)",data/processed/splits_Chla.parquet,protocol == region_na; role == test; median over splits of nunique wb_group
t2.TSS.random.n_splits,20,integer,data/processed/splits_TSS.parquet,"protocol == random; distinct (seed, fold, test_unit)"
t2.TSS.random.n_seeds,20,integer,data/processed/splits_TSS.parquet,protocol == random; nunique seed
t2.TSS.random.n_descriptive,0,integer,data/processed/splits_TSS.parquet,protocol == random; descriptive_only splits
t2.TSS.random.train.rows_median,2616.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == random; role == train; median over splits of row count
t2.TSS.random.train.wb_median,270.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == random; role == train; median over splits of nunique wb_group
t2.TSS.random.cal.rows_median,869.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == random; role == cal; median over splits of row count
t2.TSS.random.cal.wb_median,174.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == random; role == cal; median over splits of nunique wb_group
t2.TSS.random.test.rows_median,870.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == random; role == test; median over splits of row count
t2.TSS.random.test.wb_median,175.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == random; role == test; median over splits of nunique wb_group
t2.TSS.waterbody.n_splits,20,integer,data/processed/splits_TSS.parquet,"protocol == waterbody; distinct (seed, fold, test_unit)"
t2.TSS.waterbody.n_seeds,20,integer,data/processed/splits_TSS.parquet,protocol == waterbody; nunique seed
t2.TSS.waterbody.n_descriptive,0,integer,data/processed/splits_TSS.parquet,protocol == waterbody; descriptive_only splits
t2.TSS.waterbody.train.rows_median,2560.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == waterbody; role == train; median over splits of row count
t2.TSS.waterbody.train.wb_median,187.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == waterbody; role == train; median over splits of nunique wb_group
t2.TSS.waterbody.cal.rows_median,828.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == waterbody; role == cal; median over splits of row count
t2.TSS.waterbody.cal.wb_median,63.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == waterbody; role == cal; median over splits of nunique wb_group
t2.TSS.waterbody.test.rows_median,808.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == waterbody; role == test; median over splits of row count
t2.TSS.waterbody.test.wb_median,63.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == waterbody; role == test; median over splits of nunique wb_group
t2.TSS.waterbody_5km.n_splits,10,integer,data/processed/splits5km_TSS.parquet,"protocol == waterbody_5km; distinct (seed, fold, test_unit)"
t2.TSS.waterbody_5km.n_seeds,10,integer,data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; nunique seed
t2.TSS.waterbody_5km.n_descriptive,0,integer,data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; descriptive_only splits
t2.TSS.waterbody_5km.train.rows_median,2681.5,"integer (median, half up)",data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; role == train; median over splits of row count
t2.TSS.waterbody_5km.train.wb_median,161.0,"integer (median, half up)",data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; role == train; median over splits of nunique wb_5km
t2.TSS.waterbody_5km.cal.rows_median,887.5,"integer (median, half up)",data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; role == cal; median over splits of row count
t2.TSS.waterbody_5km.cal.wb_median,54.0,"integer (median, half up)",data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; role == cal; median over splits of nunique wb_5km
t2.TSS.waterbody_5km.test.rows_median,882.0,"integer (median, half up)",data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; role == test; median over splits of row count
t2.TSS.waterbody_5km.test.wb_median,54.0,"integer (median, half up)",data/processed/splits5km_TSS.parquet,protocol == waterbody_5km; role == test; median over splits of nunique wb_5km
t2.TSS.contributor_ds.n_splits,50,integer,data/processed/splits_TSS.parquet,"protocol == contributor_ds; distinct (seed, fold, test_unit)"
t2.TSS.contributor_ds.n_seeds,10,integer,data/processed/splits_TSS.parquet,protocol == contributor_ds; nunique seed
t2.TSS.contributor_ds.n_descriptive,0,integer,data/processed/splits_TSS.parquet,protocol == contributor_ds; descriptive_only splits
t2.TSS.contributor_ds.train.rows_median,2421.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor_ds; role == train; median over splits of row count
t2.TSS.contributor_ds.train.wb_median,192.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor_ds; role == train; median over splits of nunique wb_group
t2.TSS.contributor_ds.cal.rows_median,784.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor_ds; role == cal; median over splits of row count
t2.TSS.contributor_ds.cal.wb_median,62.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor_ds; role == cal; median over splits of nunique wb_group
t2.TSS.contributor_ds.test.rows_median,870.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor_ds; role == test; median over splits of row count
t2.TSS.contributor_ds.test.wb_median,57.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor_ds; role == test; median over splits of nunique wb_group
t2.TSS.contributor.n_splits,50,integer,data/processed/splits_TSS.parquet,"protocol == contributor; distinct (seed, fold, test_unit)"
t2.TSS.contributor.n_seeds,10,integer,data/processed/splits_TSS.parquet,protocol == contributor; nunique seed
t2.TSS.contributor.n_descriptive,0,integer,data/processed/splits_TSS.parquet,protocol == contributor; descriptive_only splits
t2.TSS.contributor.train.rows_median,2646.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor; role == train; median over splits of row count
t2.TSS.contributor.train.wb_median,168.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor; role == train; median over splits of nunique wb_group
t2.TSS.contributor.cal.rows_median,953.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor; role == cal; median over splits of row count
t2.TSS.contributor.cal.wb_median,64.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor; role == cal; median over splits of nunique wb_group
t2.TSS.contributor.test.rows_median,683.0,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor; role == test; median over splits of row count
t2.TSS.contributor.test.wb_median,58.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == contributor; role == test; median over splits of nunique wb_group
t2.TSS.region.n_splits,30,integer,data/processed/splits_TSS.parquet,"protocol == region; distinct (seed, fold, test_unit)"
t2.TSS.region.n_seeds,5,integer,data/processed/splits_TSS.parquet,protocol == region; nunique seed
t2.TSS.region.n_descriptive,10,integer,data/processed/splits_TSS.parquet,protocol == region; descriptive_only splits
t2.TSS.region.train.rows_median,2865.5,"integer (median, half up)",data/processed/splits_TSS.parquet,protocol == region; role == train; median over splits of row count
